"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-01-31,267900,"Ahwatukee Foothills","AZ","Phoenix","Maricopa","Phoenix",58,293600,0.00204778156996587,0.010671256454389,0.0463292943692088,0.0782992844244959,-0.021371705072202,"2006-02","2006-Q1",365500,-0.19671682626539,"2005-05"
2016-01-31,113886,"Boyle Heights","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",59,352200,0.00485021398002853,0.0100372813306567,0.0793748084584738,0.11871293306325,-0.00518678857199062,"2007-01","2007-Q1",418600,-0.158623984710941,"2005-11"
2016-01-31,274756,"North Valley","CA","San Jose","Santa Clara","San Jose",60,716900,0.00504696481143979,0.0234118486795146,0.126315789473684,0.110650926531444,0.0118232443603958,"2016-01","2016-Q1",716900,0,"2016-01"
2016-01-31,115003,"Evergreen","CA","San Jose","Santa Clara","San Jose",61,869800,0.00764596848934198,0.01873975169829,0.0802285146547442,0.0890424361883118,0.00895654728809747,"2016-01","2016-Q1",869800,0,"2016-01"
2016-01-31,196538,"Murray Hill","NY","New York","Queens","New York",62,671800,0.00674359358609321,0.0198876575072112,0.0750520083213314,0.043412529828216,0.0192644502451103,"2016-01","2016-Q1",671800,0,"2016-01"
2016-01-31,34213,"Sylmar","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",63,429400,0.0051498127340824,0.0185009487666034,0.0732316920769808,0.0790729028958337,-0.0175931039472015,"2006-10","2006-Q4",533800,-0.195578868490071,"2005-02"
2016-01-31,403131,"Sheepshead Bay","NY","New York","Kings","New York",64,527900,-0.00565078169146732,-0.000567966679288148,0.0284434054159361,0.0225513722025519,0.00442480490266317,"2006-06","2006-Q2",543800,-0.0292386906951085,"2006-05"
2016-01-31,118987,"Willow Glen","CA","San Jose","Santa Clara","San Jose",65,1022600,0.00728920409771474,0.0247519791562281,0.123736263736264,0.0934503041498605,0.028750898219883,"2016-01","2016-Q1",1022600,0,"2016-01"
2016-01-31,275950,"West","TX","Dallas-Fort Worth","Tarrant","Arlington",66,164900,0.00856269113149847,0.0274143302180685,0.123297002724796,0.0537845010090408,0.0188575213546229,"2016-01","2016-Q1",164900,0,"2016-01"
2016-01-31,270318,"North Raleigh","NC","Raleigh","Wake","Raleigh",67,250600,0.00159872102318145,0.00926298832057994,0.0472210614291684,0.0310224721300243,0.01851323376692,"2016-01","2016-Q1",250600,0,"2016-01"
2016-01-31,403215,"Gravesend","NY","New York","Kings","New York",68,665900,0.0037684654808562,0.0140094411451195,0.0450408035153798,0.0372931092489308,0.0172896251613999,"2016-01","2016-Q1",665900,0,"2016-01"
2016-01-31,33183,"Northridge","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",69,617100,0.0063600782778865,0.0171419152793803,0.0498468866961552,0.0656203321005679,-0.0115899083100631,"2006-02","2006-Q1",694500,-0.111447084233261,"2005-06"
2016-01-31,54300,"San Pedro","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",70,535500,0.00187090739008419,0.0105680317040951,0.0491771159874608,0.0484444992296549,-0.0110774586050821,"2006-08","2006-Q3",616100,-0.13082291835741,"2005-01"
2016-01-31,403117,"Little Village","IL","Chicago","Cook","Chicago",71,129900,0.00932400932400932,0.0268774703557312,0.102716468590832,0.0264572344162839,-0.0391172877977297,"2006-09","2006-Q3",201100,-0.35405271009448,"2002-11"
2016-01-31,343228,"Southwest","CA","San Diego","San Diego","Chula Vista",72,402600,0.00700350175087544,0.0220868240670221,0.0736,0.0956370704751819,-0.0173896084316333,"2006-05","2006-Q2",486900,-0.173136167590881,"2004-07"
2016-01-31,118872,"West Anaheim","CA","Los Angeles-Long Beach-Anaheim, CA","Orange","Anaheim",73,481100,0.00711743772241993,0.0201441899915182,0.0901880806707455,0.0685817573588516,-0.0169682806257061,"2006-08","2006-Q3",586100,-0.179150315645794,"2004-12"
2016-01-31,40215,"Pacoima","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles","Los Angeles",74,370500,0.00734094616639478,0.0159034823142309,0.0846018735362998,0.0968253316680974,-0.0207000776487849,"2006-08","2006-Q3",494100,-0.250151791135398,"2005-01"
2016-01-31,116625,"Mira Mesa","CA","San Diego","San Diego","San Diego",75,505900,0.00576540755467197,0.0211949939442874,0.0729586426299046,0.0671161642365068,0.000356499551797063,"2005-10","2005-Q4",508000,-0.00413385826771654,"2005-08"
